Lale Devri*https://imageserver.kitapyurdu.com/select.php?imageid=110001&width=500&isWatermarked=true*2005-03-31* 5,56*Milletlerin tarihlerinde hezimet sahneleri kadar, zafer tabloları da vardır. Karanlık dönemlere rastlandığı gibi, aydınlığın uç verdiği, ışık ve renk huzmelerinin esrarengiz bir görünüme büründürdüğü zaman dilimlerine de tesadüf edilir. Lale, bir devre adını veren sembol çiçek. Üçüncü Ahmet, barışsever bir padişah. Nevşehirli Damat İbrahim Paşa, yenilik taraftarı. Sanata, edebiyata, mimariye aşık. Padişahla veziri, bir dalın iki meyvesi. "Lale Devri", göz kamaştırıcı manzaralarıyla, ikisinin de icraatını hüzün verici çizgilerle ortaya koyuyor. Bu eser, lale bahçelerinin, şeyda bülbüllerinin ve hazin bitişin hikayesidir.*138* Ahmet Refik Altınay*9753623185*2. Baskı*
Cenab Şahabeddin*https://imageserver.kitapyurdu.com/select.php?imageid=0&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Yeni Türk şiirinin ve nesrinin kurucularından Cenap Şehabeddin'i daha yakından tanıma imkanı bulacağınız eserde, o meşhur dizesiyle 'yolunu kaybetmiş bir kuş gibi olan kar'ın esintilerini hissedecek, dil zevkinizi arttıracaksınız.*176*Prof. Dr. Hasan Akay*9753623642*1. Baskı*
Muallim Naci*https://imageserver.kitapyurdu.com/select.php?imageid=110002&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Klasik edebiyatımızın son dönemini yaşayan Muallim Naci, düşünce ve görüşleriyle olduğu kadar, şiirleriyle de geleneğin devam etmesi gereken yanını çok iyi görmüştü. Hayatı ve eserleriyle şiir ve nesirlerinden seçmelerin yer aldığı kitap bir kaynak niteliğinde.*168*Prof. Dr. Abdullah Uçman*9753624018*1. Baskı*
Tevfik Fikret*https://imageserver.kitapyurdu.com/select.php?imageid=0&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Türk edebiyatının yenileşme döneminde büyük rol oynayan Tevfik Fikret'in inancından buhranlarına hayatı, karakteri ve karakterinin aynası olan şiirleri. İnanmak İhtiyacı'ndan Sis'e, her biri zihinlerde yankılanan birbirinden etkili şiirleri bulacaksınız bu kitapta.*176*Prof. Dr. Hasan Akay*9753624034*1. Baskı*
Rıza Tevfik*https://imageserver.kitapyurdu.com/select.php?imageid=55001&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Türkiye'de felsefe üzerine ilk kez düşünmüş olanlardan Filozof Rıza Tevfik'in halk şiirinden ilham alan birbirinden güzel ve coşku dolu şiirlerini bulacağınız bu kitapta, ayrıca hayatı ve yazılarıyla da karşılaşacak ve onu daha yakından tanıyacaksınız.*176*Prof. Dr. Abdullah Uçman*9753624190*1. Baskı*
Namık Kemal*https://imageserver.kitapyurdu.com/select.php?imageid=0&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*	Millet ve Vatan kavramlarını şiirlerinde işleyerek bir döneme imzasını atan Namık Kemal'in 'merdana söyleyiş'le kaleme aldığı şiirlerinden seçmeleri bu kitapta bulacağınız gibi, onun hareketli hayatının sayfalarını da bir bir takip edebileceksiniz.*136* İsa Kocakaplan*9753624441*1. Baskı*
Baki*https://imageserver.kitapyurdu.com/select.php?imageid=0&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Edasıyla dil işçiliğinin, söz kuyumculuğunun büyük ustası Baki'nin bu "gökkubbede kalmış olan hoş seda"sından bir demet bulacaksınız eserde, Sinan taşı şekillendirirken Baki'nin dile nasıl mimari getirdiğini göreceksiniz. *152*Prof. Dr. İskender Pala*9753623277*1. Baskı*
Fuzuli*https://imageserver.kitapyurdu.com/select.php?imageid=0&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis*Kitabin fiyati belirtilmemis*Edebiyatımızın yanık sesli 'Leyla ve Mecnun'un şairi Fuzuli'nin dilin matematiğine yaklaşan mükemmel şiirlerini bulacaksınız burada. Onu bugünün diliyle anlamanın zevkini yaşarken lirizmin zirvelerine tırmandığınızı hissedeceksiniz. *160*Prof. Dr. Namık Açıkgöz*9753623992*1. Baskı*
Necati*https://imageserver.kitapyurdu.com/select.php?imageid=0&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Söyleyişiyle duygu ve düşünceyi aynı ilham dünyasında yaşayan ve yaşatan Necati'nin, zaman geçtikçe daha çok sevilen, hayatın özünden çıkıp gelen şiirlerini okurken, onun hayatını öğrenme imkanı bulacak ve bu büyük şairin sesini unutamayacaksınız. *152*Prof. Dr. İskender Pala*9753624042*1. Baskı*
Hayali*https://imageserver.kitapyurdu.com/select.php?imageid=110003&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 62,96*'Ol mahiler ki derya içredirler deryayı bilmezler' Hikmet ve ilham dolu şiirlerinin sahibi Hayali'nin okudukça insanı kalbine doğru bir yolculuğa çıkaran şiirlerini ve hayatını bu kitapta bulacak, unutulmayacak bir şairle tanışmış olacaksınız.*176*Prof. Dr. Namık Açıkgöz*9753624182*1. Baskı*
Nef'i*https://imageserver.kitapyurdu.com/select.php?imageid=280001&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Divan şiirinin gerek hicivleriyle gerek çok incelikle yazdığı gazelleriyle tanınan büyük şairi Nefi'nin hayatı, şiirleri… 'Manalar hazinesinin kapısını' açtığını, elinde tuttuğunu söyleyen Nef'I'nin yüzyıllar boyu solmayan sesini bu kitapta bulacak ve çok seveceksiniz.*176*Prof. Dr. Namık Açıkgöz*9753624435*1. Baskı*
Karacaoğlan*https://imageserver.kitapyurdu.com/select.php?imageid=0&width=500&isWatermarked=true*yayinlanma tarihi belirtilmemis* 5,09*Halkın en saf, en temiz diliyle en duygusal ve sosyal konuları bir arada ezgilendiren Karacaoğlan'ın hayatını ve şiirlerinden seçmeleri bulacağınız eserde, aşka, sevgiye ve sevgiliye dair şiirleri çok beğeneceksiniz. *126* Nurettin Albayrak*9753623239*1. Baskı*
